Entity,Code,Year,Fossil fuels (TWh)
High-income countries,,2004,57543.06640625
High-income countries,,2005,57882.49609375
High-income countries,,2006,57898.44921875
High-income countries,,2007,58635.71484375
High-income countries,,2008,57929.69140625
High-income countries,,2009,54835.203125
High-income countries,,2010,57212.1640625
High-income countries,,2011,56689.7109375
High-income countries,,2012,56492.6875
High-income countries,,2013,56983.2265625
High-income countries,,2014,56477.75390625
High-income countries,,2015,56739.390625
High-income countries,,2016,56799.26953125
High-income countries,,2017,57013.11328125
High-income countries,,2018,57772.390625
High-income countries,,2019,56797.5078125
High-income countries,,2020,51842.67578125
High-income countries,,2021,54222.15625
Hong Kong,HKG,1965,26.302011489868164
Hong Kong,HKG,1966,28.525821685791016
Hong Kong,HKG,1967,33.69280242919922
Hong Kong,HKG,1968,36.4280891418457
Hong Kong,HKG,1969,42.7999382019043
Hong Kong,HKG,1970,45.98167419433594
Hong Kong,HKG,1971,48.55965805053711
Hong Kong,HKG,1972,55.15408706665039
Hong Kong,HKG,1973,57.20207595825195
Hong Kong,HKG,1974,58.55752182006836
Hong Kong,HKG,1975,55.12709426879883
Hong Kong,HKG,1976,65.09097290039062
Hong Kong,HKG,1977,70.28380584716797
Hong Kong,HKG,1978,73.01685333251953
Hong Kong,HKG,1979,74.76295471191406
Hong Kong,HKG,1980,76.39582824707031
Hong Kong,HKG,1981,81.40918731689453
Hong Kong,HKG,1982,89.35030364990234
Hong Kong,HKG,1983,94.74298858642578
Hong Kong,HKG,1984,97.06277465820312
Hong Kong,HKG,1985,100.76824188232422
Hong Kong,HKG,1986,105.59091186523438
Hong Kong,HKG,1987,116.01950073242188
Hong Kong,HKG,1988,133.64907836914062
Hong Kong,HKG,1989,142.8594512939453
Hong Kong,HKG,1990,139.3577423095703
Hong Kong,HKG,1991,144.389404296875
Hong Kong,HKG,1992,169.92892456054688
Hong Kong,HKG,1993,185.50230407714844
Hong Kong,HKG,1994,168.0928955078125
Hong Kong,HKG,1995,180.6806182861328
Hong Kong,HKG,1996,180.59100341796875
Hong Kong,HKG,1997,182.69309997558594
Hong Kong,HKG,1998,186.2337646484375
Hong Kong,HKG,1999,188.6217498779297
Hong Kong,HKG,2000,197.47532653808594
Hong Kong,HKG,2001,249.42022705078125
Hong Kong,HKG,2002,243.43252563476562
Hong Kong,HKG,2003,251.40542602539062
Hong Kong,HKG,2004,281.52691650390625
Hong Kong,HKG,2005,270.0904541015625
Hong Kong,HKG,2006,285.7505187988281
Hong Kong,HKG,2007,304.01202392578125
Hong Kong,HKG,2008,282.85101318359375
Hong Kong,HKG,2009,308.85528564453125
Hong Kong,HKG,2010,321.0028381347656
Hong Kong,HKG,2011,328.87750244140625
Hong Kong,HKG,2012,316.2942199707031
Hong Kong,HKG,2013,324.7752685546875
Hong Kong,HKG,2014,317.0056457519531
Hong Kong,HKG,2015,326.21795654296875
Hong Kong,HKG,2016,334.7713928222656
Hong Kong,HKG,2017,359.0843505859375
Hong Kong,HKG,2018,363.2270202636719
Hong Kong,HKG,2019,344.21331787109375
Hong Kong,HKG,2020,257.52410888671875
Hong Kong,HKG,2021,242.60150146484375
Hungary,HUN,1965,184.75363159179688
Hungary,HUN,1966,187.16714477539062
Hungary,HUN,1967,178.6499481201172
Hungary,HUN,1968,185.34271240234375
Hungary,HUN,1969,198.4815216064453
Hungary,HUN,1970,213.87945556640625
Hungary,HUN,1971,220.81312561035156
Hungary,HUN,1972,227.95272827148438
Hungary,HUN,1973,246.89540100097656
Hungary,HUN,1974,254.52191162109375
Hungary,HUN,1975,269.2369384765625
Hungary,HUN,1976,287.66680908203125
Hungary,HUN,1977,302.5390625
Hungary,HUN,1978,323.6296081542969
Hungary,HUN,1979,320.4399719238281
Hungary,HUN,1980,321.5075988769531
Hungary,HUN,1981,318.0842590332031
Hungary,HUN,1982,319.5235595703125
Hungary,HUN,1983,307.00457763671875
Hungary,HUN,1984,311.79595947265625
Hungary,HUN,1985,314.5357666015625
Hungary,HUN,1986,310.3033142089844
Hungary,HUN,1987,314.9810485839844
Hungary,HUN,1988,300.00616455078125
Hungary,HUN,1989,290.02203369140625
Hungary,HUN,1990,283.6123962402344
Hungary,HUN,1991,262.180419921875
Hungary,HUN,1992,249.2808837890625
Hungary,HUN,1993,241.45791625976562
Hungary,HUN,1994,243.06719970703125
Hungary,HUN,1995,246.30728149414062
Hungary,HUN,1996,251.1851806640625
Hungary,HUN,1997,244.67672729492188
Hungary,HUN,1998,249.1908721923828
Hungary,HUN,1999,247.90521240234375
